,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'chocolate'}),frozenset({'eggs'}),0.16386666666666666,0.17973333333333333,0.0332,0.20260374288039057,1.127246343919087,0.003747697777777781,1.0286813605442178,0.13500533788798963
1,frozenset({'eggs'}),frozenset({'chocolate'}),0.17973333333333333,0.16386666666666666,0.0332,0.1847181008902077,1.127246343919087,0.003747697777777781,1.0255757355171369,0.13761678704414548
2,frozenset({'chocolate'}),frozenset({'french fries'}),0.16386666666666666,0.17093333333333333,0.0344,0.20992676973148902,1.2281207277583213,0.006389724444444446,1.049354205286646,0.22215093719211979
3,frozenset({'french fries'}),frozenset({'chocolate'}),0.17093333333333333,0.16386666666666666,0.0344,0.20124804992199688,1.228120727758321,0.006389724444444446,1.0467997395833333,0.2240444720379195
4,frozenset({'chocolate'}),frozenset({'milk'}),0.16386666666666666,0.1296,0.03213333333333333,0.19609438567941417,1.5130739635757267,0.010896213333333335,1.0827141700404859,0.4055498835117326
5,frozenset({'milk'}),frozenset({'chocolate'}),0.1296,0.16386666666666666,0.03213333333333333,0.24794238683127573,1.5130739635757267,0.010896213333333335,1.1117942544459647,0.38958384183548944
6,frozenset({'chocolate'}),frozenset({'mineral water'}),0.16386666666666666,0.23826666666666665,0.05266666666666667,0.32139951179820997,1.3489067367020564,0.013622702222222227,1.1225063149480419,0.30935126329961715
7,frozenset({'mineral water'}),frozenset({'chocolate'}),0.23826666666666665,0.16386666666666666,0.05266666666666667,0.22104085058757697,1.3489067367020564,0.013622702222222227,1.0733981800766283,0.3395662125244004
8,frozenset({'chocolate'}),frozenset({'spaghetti'}),0.16386666666666666,0.17413333333333333,0.0392,0.23921887713588283,1.3737684368446563,0.01066535111111111,1.085550944741533,0.32539700619523837
9,frozenset({'spaghetti'}),frozenset({'chocolate'}),0.17413333333333333,0.16386666666666666,0.0392,0.225114854517611,1.3737684368446563,0.01066535111111111,1.0790416337285904,0.3294421417259186
10,frozenset({'eggs'}),frozenset({'french fries'}),0.17973333333333333,0.17093333333333333,0.0364,0.20252225519287836,1.1848025849817378,0.005677582222222227,1.03961103875969,0.19015466544725337
11,frozenset({'french fries'}),frozenset({'eggs'}),0.17093333333333333,0.17973333333333333,0.0364,0.21294851794071765,1.1848025849817376,0.005677582222222227,1.0422020482325736,0.18813629813951477
12,frozenset({'eggs'}),frozenset({'milk'}),0.17973333333333333,0.1296,0.0308,0.17136498516320475,1.322260687987691,0.007506560000000002,1.0504021486123547,0.2971222535591847
13,frozenset({'milk'}),frozenset({'eggs'}),0.1296,0.17973333333333333,0.0308,0.23765432098765435,1.3222606879876913,0.007506560000000002,1.0759773279352227,0.2800085943468297
14,frozenset({'eggs'}),frozenset({'mineral water'}),0.17973333333333333,0.23826666666666665,0.05093333333333333,0.28338278931750743,1.1893513821383916,0.00810887111111111,1.0629570738440304,0.19409003329271032
15,frozenset({'mineral water'}),frozenset({'eggs'}),0.23826666666666665,0.17973333333333333,0.05093333333333333,0.21376608841634023,1.1893513821383916,0.00810887111111111,1.0432857888493476,0.20900435582299207
16,frozenset({'eggs'}),frozenset({'spaghetti'}),0.17973333333333333,0.17413333333333333,0.036533333333333334,0.20326409495548964,1.1672899786877275,0.005235768888888888,1.0365626319056487,0.17471737871726475
17,frozenset({'spaghetti'}),frozenset({'eggs'}),0.17413333333333333,0.17973333333333333,0.036533333333333334,0.20980091883614088,1.1672899786877275,0.005235768888888888,1.0380506459948322,0.17353266287836824
18,frozenset({'french fries'}),frozenset({'mineral water'}),0.17093333333333333,0.23826666666666665,0.03373333333333333,0.19734789391575663,0.8282648037874509,-0.00699438222222222,0.9490205377389052,-0.20005918880823026
19,frozenset({'mineral water'}),frozenset({'french fries'}),0.23826666666666665,0.17093333333333333,0.03373333333333333,0.14157806379406826,0.8282648037874508,-0.00699438222222222,0.9658032159930464,-0.21395969051942462
20,frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09533333333333334,0.23826666666666665,0.03573333333333333,0.3748251748251748,1.5731330784492508,0.013018577777777776,1.2184325130499627,0.40271835369944675
21,frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.23826666666666665,0.09533333333333334,0.03573333333333333,0.14997202014549524,1.5731330784492505,0.013018577777777776,1.06427869212201,0.47828531942075014
22,frozenset({'green tea'}),frozenset({'mineral water'}),0.132,0.23826666666666665,0.030933333333333334,0.23434343434343433,0.9835342795611401,-0.0005178666666666651,0.9948759894459103,-0.018922342395011147
23,frozenset({'mineral water'}),frozenset({'green tea'}),0.23826666666666665,0.132,0.030933333333333334,0.12982652490207053,0.9835342795611404,-0.0005178666666666651,0.9975022508038585,-0.021505360467640015
24,frozenset({'mineral water'}),frozenset({'ground beef'}),0.23826666666666665,0.09826666666666667,0.040933333333333335,0.1717963066592054,1.7482663499919138,0.017519662222222225,1.088782072072072,0.5618826939644482
25,frozenset({'ground beef'}),frozenset({'mineral water'}),0.09826666666666667,0.23826666666666665,0.040933333333333335,0.41655359565807326,1.7482663499919135,0.017519662222222225,1.305575503875969,0.47464672935367336
26,frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09826666666666667,0.17413333333333333,0.0392,0.39891451831750335,2.2908567284695827,0.022088497777777775,1.3739587659894656,0.6248877193935388
27,frozenset({'spaghetti'}),frozenset({'ground beef'}),0.17413333333333333,0.09826666666666667,0.0392,0.225114854517611,2.2908567284695827,0.022088497777777775,1.1636993412384715,0.6822918382722801
28,frozenset({'mineral water'}),frozenset({'milk'}),0.23826666666666665,0.1296,0.048,0.20145495243424735,1.5544363613753656,0.017120640000000003,1.0899823405746323,0.46824785576754774
29,frozenset({'milk'}),frozenset({'mineral water'}),0.1296,0.23826666666666665,0.048,0.3703703703703704,1.5544363613753656,0.017120640000000003,1.2098117647058826,0.4097886029411765
30,frozenset({'milk'}),frozenset({'spaghetti'}),0.1296,0.17413333333333333,0.03546666666666667,0.27366255144032925,1.5715690166940808,0.012898986666666667,1.137028895184136,0.41784608580274213
31,frozenset({'spaghetti'}),frozenset({'milk'}),0.17413333333333333,0.1296,0.03546666666666667,0.20367534456355282,1.5715690166940806,0.012898986666666667,1.0930215384615385,0.4403776635647887
32,frozenset({'mineral water'}),frozenset({'pancakes'}),0.23826666666666665,0.09506666666666666,0.03373333333333333,0.14157806379406826,1.489250320414463,0.011082115555555556,1.0541824424163406,0.4312811291631527
33,frozenset({'pancakes'}),frozenset({'mineral water'}),0.09506666666666666,0.23826666666666665,0.03373333333333333,0.3548387096774194,1.489250320414463,0.011082115555555556,1.1806866666666667,0.36303360702948156
34,frozenset({'mineral water'}),frozenset({'spaghetti'}),0.23826666666666665,0.17413333333333333,0.05973333333333333,0.2506994963626189,1.4396984860027884,0.018243164444444446,1.1021835200398307,0.40094099297341906
35,frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17413333333333333,0.23826666666666665,0.05973333333333333,0.3430321592649311,1.4396984860027886,0.018243164444444446,1.1594682206682205,0.36980560104248356
